"Title","Location","Developer","Price","Area","Bedrooms","Bathrooms","Handover Date","Features","Images","Link"
"Sharjah Sustainable City","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/729289582-400x300.jpeg;https://www.bayut.com/assets/iconArrowLeftCircle_noinline.f4fdfbc99de3d8af149a5dd5bf836586.svg;https://www.bayut.com/assets/iconArrowRightCircle_noinline.c715bedf13559741f9d2e72bc9d025bb.svg;https://images.bayut.com/thumbnails/729289582-400x300.jpeg;https://images.bayut.com/thumbnails/676991134-240x180.jpeg;","https://www.bayut.com/for-sale/property/sharjah/al-rahmaniya/shaghrafa-1/sharjah-sustainable-city/"
"Toledo","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/729131738-400x300.jpeg;https://www.bayut.com/assets/iconArrowLeftCircle_noinline.f4fdfbc99de3d8af149a5dd5bf836586.svg;https://www.bayut.com/assets/iconArrowRightCircle_noinline.c715bedf13559741f9d2e72bc9d025bb.svg;https://images.bayut.com/thumbnails/729131738-400x300.jpeg;https://images.bayut.com/thumbnails/676991395-240x180.jpeg;","https://www.bayut.com/for-sale/property/abu-dhabi/zayed-city/bloom-living/toledo/"
"Grove Uptown Views","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/677015289-400x300.jpeg;https://images.bayut.com/thumbnails/676991145-240x180.jpeg;","https://www.bayut.com/for-sale/property/abu-dhabi/saadiyat-island/saadiyat-cultural-district/saadiyat-grove/grove-uptown-views/"
"Camelia Villas","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/677005304-400x300.jpeg;https://images.bayut.com/thumbnails/676991133-240x180.jpeg;","https://www.bayut.com/for-sale/property/dubai/damac-hills-2-akoya-by-damac/camelia/"
"Portofino at DAMAC Lagoons","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/677015228-400x300.jpeg;https://images.bayut.com/thumbnails/676991133-240x180.jpeg;","https://www.bayut.com/for-sale/property/dubai/damac-lagoons/portofino/"
"Grove Fountain Views","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/729131739-400x300.jpeg;https://images.bayut.com/thumbnails/676991145-240x180.jpeg;","https://www.bayut.com/for-sale/property/abu-dhabi/saadiyat-island/saadiyat-cultural-district/saadiyat-grove/grove-fountain-views/"
"Arista One","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/762426694-400x300.jpeg;","https://www.bayut.com/for-sale/property/dubai/al-satwa/jumeirah-garden-city/arista-one/"
"Al Serh Residences 11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/757114075-400x300.jpeg;","https://www.bayut.com/for-sale/property/dubai/jumeirah-village-circle-jvc/jvc-district-10/al-serh-residences-11/"
"Grove Museum Views","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/677015183-400x300.jpeg;https://images.bayut.com/thumbnails/676991145-240x180.jpeg;","https://www.bayut.com/for-sale/property/abu-dhabi/saadiyat-island/saadiyat-cultural-district/saadiyat-grove/grove-museum-views/"
"Peninsula Three","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/677007796-400x300.jpeg;https://images.bayut.com/thumbnails/676991242-240x180.jpeg;","https://www.bayut.com/for-sale/property/dubai/business-bay/peninsula/peninsula-three/"
"Grove Beach Views","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/746870190-400x300.jpeg;https://images.bayut.com/thumbnails/676991145-240x180.jpeg;","https://www.bayut.com/for-sale/property/abu-dhabi/saadiyat-island/saadiyat-cultural-district/saadiyat-grove/grove-beach-views/"
"Ciel Tower","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/779974105-400x300.jpeg;https://images.bayut.com/thumbnails/676991229-240x180.jpeg;","https://www.bayut.com/for-sale/property/dubai/dubai-marina/ciel-tower/"
"Grove Gallery Views","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/733400518-400x300.jpeg;https://images.bayut.com/thumbnails/676991145-240x180.jpeg;","https://www.bayut.com/for-sale/property/abu-dhabi/saadiyat-island/saadiyat-cultural-district/saadiyat-grove/grove-gallery-views/"
"Skyz by Danube","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/677003759-400x300.jpeg;https://images.bayut.com/thumbnails/676991135-240x180.jpeg;","https://www.bayut.com/for-sale/property/dubai/arjan/skyz-by-danube/"
"Peninsula Two","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/731580349-400x300.jpeg;https://images.bayut.com/thumbnails/676991242-240x180.jpeg;","https://www.bayut.com/for-sale/property/dubai/business-bay/peninsula/peninsula-two/"
"Tria","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/677008369-400x300.jpeg;https://images.bayut.com/thumbnails/676991147-240x180.jpeg;","https://www.bayut.com/for-sale/property/dubai/dubai-silicon-oasis-dso/tria/"
"Equiti Home","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/677017275-400x300.jpeg;https://images.bayut.com/thumbnails/676991623-240x180.jpeg;","https://www.bayut.com/for-sale/property/dubai/al-furjan/al-furjan-west/equiti-home/"
"June","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/703092483-400x300.jpeg;https://images.bayut.com/thumbnails/676991143-240x180.jpeg;","https://www.bayut.com/for-sale/property/dubai/arabian-ranches-3/june/"
"Marina Living","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/726875542-400x300.jpeg;https://images.bayut.com/thumbnails/707192416-240x180.jpeg;","https://www.bayut.com/for-sale/property/dubai/dubai-marina/marina-living/"
"il Teatro Residences 2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/746870193-400x300.jpeg;https://images.bayut.com/thumbnails/676991418-240x180.jpeg;","https://www.bayut.com/for-sale/property/sharjah/aljada/il-teatro-residences/il-teatro-residences-2/"
"Millennium Talia Residences","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/677007518-400x300.jpeg;https://images.bayut.com/thumbnails/676991147-240x180.jpeg;","https://www.bayut.com/for-sale/property/dubai/al-furjan/millennium-talia-residences/"
"Jouri Hills","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/677005352-400x300.jpeg;https://images.bayut.com/thumbnails/676991418-240x180.jpeg;","https://www.bayut.com/for-sale/property/dubai/jumeirah-golf-estates/jouri-hills/"
"Ellington House 2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/745041578-400x300.jpeg;https://images.bayut.com/thumbnails/676991377-240x180.jpeg;","https://www.bayut.com/for-sale/property/dubai/dubai-hills-estate/ellington-house/ellington-house-2/"
"The S Tower","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://images.bayut.com/thumbnails/677010804-400x300.jpeg;https://images.bayut.com/thumbnails/676991370-240x180.jpeg;","https://www.bayut.com/for-sale/property/dubai/dubai-internet-city/s-tower/"
